Time(s),Input,Output_Displacement
5.1,0.900,5.539
5.2,0.917,5.552
5.3,0.932,5.565
5.4,0.946,5.576
5.5,0.958,5.587
5.6,0.969,5.597
5.7,0.978,5.605
5.8,0.985,5.613
5.9,0.991,5.620
5.99999999999999,0.996,5.626
6.09999999999999,0.999,5.631
6.19999999999999,1.000,5.634
6.29999999999999,1.000,5.637
6.39999999999999,0.998,5.639
6.49999999999999,0.994,5.640
6.59999999999999,0.989,5.640
6.69999999999999,0.982,5.638
6.79999999999999,0.974,5.636
6.89999999999999,0.964,5.633
6.99999999999999,0.953,5.628
7.09999999999999,0.940,5.623
7.19999999999999,0.925,5.617
7.29999999999999,0.909,5.609
7.39999999999999,0.892,5.601
7.49999999999999,0.873,5.592
7.59999999999999,0.853,5.582
7.69999999999999,0.831,5.571
7.79999999999999,0.808,5.559
7.89999999999999,0.784,5.546
7.99999999999999,0.759,5.532
8.09999999999999,0.732,5.517
8.19999999999999,0.704,5.502
8.29999999999999,0.675,5.485
8.39999999999999,0.645,5.468
8.49999999999999,0.614,5.451
8.59999999999999,0.582,5.432
8.69999999999999,0.549,5.413
8.79999999999998,0.516,5.393
8.89999999999998,0.481,5.372
8.99999999999998,0.445,5.351
9.09999999999998,0.409,5.330
9.19999999999998,0.372,5.307
9.29999999999998,0.335,5.285
9.39999999999998,0.297,5.262
9.49999999999998,0.259,5.238
9.59999999999998,0.220,5.214
9.69999999999998,0.181,5.190
9.79999999999998,0.141,5.165
9.89999999999998,0.101,5.140
9.99999999999998,0.062,5.115
10.1,0.022,5.090
10.2,-0.018,5.065
10.3,-0.058,5.039
10.4,-0.098,5.013
10.5,-0.138,4.988
10.6,-0.177,4.962
10.7,-0.217,4.937
10.8,-0.256,4.911
10.9,-0.294,4.886
11,-0.332,4.861
11.1,-0.369,4.836
11.2,-0.406,4.812
11.3,-0.443,4.787
11.4,-0.478,4.763
11.5,-0.513,4.740
11.6,-0.547,4.717
11.7,-0.580,4.694
11.8,-0.612,4.672
11.9,-0.643,4.650
12,-0.673,4.629
12.1,-0.702,4.608
12.2,-0.730,4.588
12.3,-0.757,4.569
12.4,-0.782,4.550
12.5,-0.807,4.533
12.6,-0.830,4.515
12.7,-0.851,4.499
12.8,-0.872,4.484
12.9,-0.890,4.469
13,-0.908,4.455
13.1,-0.924,4.442
13.2,-0.939,4.430
13.3,-0.952,4.419
13.4,-0.963,4.409
13.5,-0.973,4.399
13.6,-0.982,4.391
13.7,-0.988,4.384
13.8,-0.994,4.377
13.9,-0.997,4.372
14,-0.999,4.367
14.1,-1.000,4.364
14.2,-0.999,4.362
14.3,-0.996,4.360
14.4,-0.992,4.360
14.5,-0.986,4.361
14.6,-0.979,4.363
14.7,-0.970,4.365
14.8,-0.959,4.369
14.9,-0.947,4.374
15,-0.933,4.380
15.1,-0.918,4.386
15.2,-0.901,4.394
15.3,-0.883,4.403
15.4,-0.864,4.413
15.5,-0.843,4.423
15.6,-0.821,4.435
15.7,-0.798,4.447
15.8,-0.773,4.461
15.9,-0.747,4.475
16,-0.720,4.490
16.1,-0.691,4.506
16.2,-0.662,4.522
16.3,-0.631,4.540
16.4,-0.600,4.558
16.5,-0.567,4.577
16.6,-0.534,4.596
16.7,-0.500,4.616
16.8,-0.465,4.637
16.9,-0.429,4.659
17,-0.392,4.681
17.1,-0.355,4.703
17.2,-0.318,4.726
17.3,-0.279,4.749
17.4,-0.241,4.773
17.5,-0.202,4.797
17.6,-0.162,4.822
17.7,-0.123,4.846
17.8,-0.083,4.871
17.9,-0.043,4.896
18,-0.003,4.922
18.1,0.037,4.947
18.2,0.077,4.973
18.3,0.117,4.998
18.4,0.156,5.024
18.5,0.196,5.049
18.6,0.235,5.075
18.7,0.273,5.100
18.8,0.312,5.125
18.9,0.349,5.150
19,0.386,5.175
19.1,0.423,5.200
19.2,0.459,5.224
19.3,0.494,5.248
19.4,0.528,5.271
19.5,0.562,5.294
19.6,0.595,5.316
19.7,0.626,5.338
19.8,0.657,5.360
19.9,0.687,5.381
20,0.715,5.401
20.1,0.743,5.421
20.2,0.769,5.440
20.3,0.794,5.458
20.4,0.817,5.475
20.5,0.840,5.492
20.6,0.861,5.508
20.7,0.880,5.523
20.8,0.899,5.538
20.9,0.916,5.551
21,0.931,5.564
21.1,0.945,5.575
21.2,0.957,5.586
21.3,0.968,5.596
21.4,0.977,5.605
21.5,0.985,5.613
21.6,0.991,5.619
21.7,0.996,5.625
21.8,0.999,5.630
21.9,1.000,5.634
22,1.000,5.637
