Time(s),Input,Output_Displacement
5.99999999999999,0.000,3.185
6.09999999999999,1.000,3.185
6.19999999999999,1.000,3.185
6.29999999999999,1.000,3.608
6.39999999999999,1.000,4.237
6.49999999999999,1.000,4.893
6.59999999999999,1.000,5.454
6.69999999999999,1.000,5.855
6.79999999999999,1.000,6.082
6.89999999999999,1.000,6.155
6.99999999999999,1.000,6.113
7.09999999999999,1.000,6.004
7.19999999999999,1.000,5.868
7.29999999999999,1.000,5.739
7.39999999999999,1.000,5.636
7.49999999999999,1.000,5.569
7.59999999999999,1.000,5.536
7.69999999999999,1.000,5.532
7.79999999999999,1.000,5.547
7.89999999999999,1.000,5.573
7.99999999999999,1.000,5.601
8.09999999999999,1.000,5.625
8.19999999999999,1.000,5.644
8.29999999999999,1.000,5.655
8.39999999999999,1.000,5.659
8.49999999999999,1.000,5.658
8.59999999999999,1.000,5.653
8.69999999999999,1.000,5.648
8.79999999999998,1.000,5.642
8.89999999999998,1.000,5.638
8.99999999999998,1.000,5.635
9.09999999999998,1.000,5.633
9.19999999999998,1.000,5.633
9.29999999999998,1.000,5.633
9.39999999999998,1.000,5.634
9.49999999999998,1.000,5.635
9.59999999999998,1.000,5.636
9.69999999999998,1.000,5.637
9.79999999999998,1.000,5.638
9.89999999999998,1.000,5.638
9.99999999999998,1.000,5.638
10.1,1.000,5.638
10.2,1.000,5.638
10.3,1.000,5.637
10.4,1.000,5.637
10.5,1.000,5.637
10.6,1.000,5.637
10.7,1.000,5.637
10.8,1.000,5.637
10.9,1.000,5.637
11,1.000,5.637
11.1,1.000,5.637
11.2,1.000,5.637
11.3,1.000,5.637
11.4,1.000,5.637
11.5,1.000,5.637
11.6,1.000,5.637
11.7,1.000,5.637
11.8,1.000,5.637
11.9,1.000,5.637
12,1.000,5.637
12.1,1.000,5.637
12.2,1.000,5.637
12.3,1.000,5.637
12.4,1.000,5.637
12.5,1.000,5.637
12.6,1.000,5.637
12.7,1.000,5.637
12.8,1.000,5.637
12.9,1.000,5.637
13,1.000,5.637
13.1,1.000,5.637
13.2,1.000,5.637
13.3,1.000,5.637
13.4,1.000,5.637
13.5,1.000,5.637
13.6,1.000,5.637
13.7,1.000,5.637
13.8,1.000,5.637
13.9,1.000,5.637
14,1.000,5.637
14.1,1.000,5.637
14.2,1.000,5.637
14.3,1.000,5.637
14.4,1.000,5.637
14.5,1.000,5.637
14.6,1.000,5.637
14.7,1.000,5.637
14.8,1.000,5.637
14.9,1.000,5.637
15,1.000,5.637
15.1,1.000,5.637
15.2,1.000,5.637
15.3,1.000,5.637
15.4,1.000,5.637
15.5,1.000,5.637
15.6,1.000,5.637
15.7,1.000,5.637
15.8,1.000,5.637
15.9,1.000,5.637
16,1.000,5.637
16.1,1.000,5.637
16.2,1.000,5.637
16.3,1.000,5.637
16.4,1.000,5.637
16.5,1.000,5.637
16.6,1.000,5.637
16.7,1.000,5.637
16.8,1.000,5.637
16.9,1.000,5.637
17,1.000,5.637
17.1,1.000,5.637
17.2,1.000,5.637
17.3,1.000,5.637
17.4,1.000,5.637
17.5,1.000,5.637
17.6,1.000,5.637
17.7,1.000,5.637
17.8,1.000,5.637
17.9,1.000,5.637
18,1.000,5.637
18.1,1.000,5.637
18.2,1.000,5.637
18.3,1.000,5.637
18.4,1.000,5.637
18.5,1.000,5.637
18.6,1.000,5.637
18.7,1.000,5.637
18.8,1.000,5.637
18.9,1.000,5.637
19,1.000,5.637
19.1,1.000,5.637
19.2,1.000,5.637
19.3,1.000,5.637
19.4,1.000,5.637
19.5,1.000,5.637
19.6,1.000,5.637
19.7,1.000,5.637
19.8,1.000,5.637
19.9,1.000,5.637
20,1.000,5.637
20.1,1.000,5.637
20.2,1.000,5.637
20.3,1.000,5.637
20.4,1.000,5.637
20.5,1.000,5.637
20.6,1.000,5.637
20.7,1.000,5.637
20.8,1.000,5.637
20.9,1.000,5.637
21,1.000,5.637
21.1,1.000,5.637
21.2,1.000,5.637
21.3,1.000,5.637
21.4,1.000,5.637
21.5,1.000,5.637
21.6,1.000,5.637
21.7,1.000,5.637
21.8,1.000,5.637
21.9,1.000,5.637
22,1.000,5.637
22.1,1.000,5.637
22.2,1.000,5.637
22.3,1.000,5.637
22.4,1.000,5.637
22.5,1.000,5.637
22.6000000000001,1.000,5.637
22.7000000000001,1.000,5.637
22.8000000000001,1.000,5.637
22.9000000000001,1.000,5.637
23.0000000000001,1.000,5.637
23.1000000000001,1.000,5.637
23.2000000000001,1.000,5.637
23.3000000000001,1.000,5.637
23.4000000000001,1.000,5.637
23.5000000000001,1.000,5.637
23.6000000000001,1.000,5.637
23.7000000000001,1.000,5.637
23.8000000000001,1.000,5.637
23.9000000000001,1.000,5.637
24.0000000000001,1.000,5.637
24.1000000000001,1.000,5.637
24.2000000000001,1.000,5.637
24.3000000000001,1.000,5.637
24.4000000000001,1.000,5.637
24.5000000000001,1.000,5.637
24.6000000000001,1.000,5.637
24.7000000000001,1.000,5.637
24.8000000000001,1.000,5.637
24.9000000000001,1.000,5.637
25.0000000000001,1.000,5.637
25.1000000000001,1.000,5.637
25.2000000000001,1.000,5.637
25.3000000000001,1.000,5.637
25.4000000000001,1.000,5.637
25.5000000000001,1.000,5.637
25.6000000000001,1.000,5.637
25.7000000000001,1.000,5.637
25.8000000000001,1.000,5.637
25.9000000000001,1.000,5.637
26.0000000000001,1.000,5.637
26.1000000000001,1.000,5.637
26.2000000000001,1.000,5.637
26.3000000000001,1.000,5.637
26.4000000000001,1.000,5.637
26.5000000000001,1.000,5.637
26.6000000000001,1.000,5.637
26.7000000000001,1.000,5.637
26.8000000000001,1.000,5.637
26.9000000000001,1.000,5.637
27.0000000000001,1.000,5.637
27.1000000000001,1.000,5.637
27.2000000000001,1.000,5.637
27.3000000000001,1.000,5.637
27.4000000000001,1.000,5.637
27.5000000000001,1.000,5.637
27.6000000000001,1.000,5.637
27.7000000000001,1.000,5.637
27.8000000000001,1.000,5.637
27.9000000000001,1.000,5.637
28.0000000000001,1.000,5.637
28.1000000000001,1.000,5.637
28.2000000000001,1.000,5.637
28.3000000000001,1.000,5.637
28.4000000000001,1.000,5.637
28.5000000000001,1.000,5.637
28.6000000000001,1.000,5.637
28.7000000000001,1.000,5.637
28.8000000000001,1.000,5.637
28.9000000000001,1.000,5.637
29.0000000000001,1.000,5.637
29.1000000000001,1.000,5.637
29.2000000000001,1.000,5.637
29.3000000000001,1.000,5.637
29.4000000000001,1.000,5.637
29.5000000000001,1.000,5.637
29.6000000000002,1.000,5.637
29.7000000000002,1.000,5.637
29.8000000000002,1.000,5.637
29.9000000000002,1.000,5.637
30.0000000000002,1.000,5.637
30.1000000000002,1.000,5.637
30.2000000000002,1.000,5.637
30.3000000000002,1.000,5.637
30.4000000000002,1.000,5.637
30.5000000000002,1.000,5.637
30.6000000000002,1.000,5.637
30.7000000000002,1.000,5.637
30.8000000000002,1.000,5.637
30.9000000000002,1.000,5.637
31.0000000000002,1.000,5.637
31.1000000000002,1.000,5.637
31.2000000000002,1.000,5.637
31.3000000000002,1.000,5.637
31.4000000000002,1.000,5.637
31.5000000000002,1.000,5.637
31.6000000000002,1.000,5.637
31.7000000000002,1.000,5.637
31.8000000000002,1.000,5.637
31.9000000000002,1.000,5.637
32.0000000000002,1.000,5.637
32.1000000000002,1.000,5.637
32.2000000000002,1.000,5.637
32.3000000000002,1.000,5.637
32.4000000000002,1.000,5.637
32.5000000000002,1.000,5.637
32.6000000000002,1.000,5.637
32.7000000000002,1.000,5.637
32.8000000000002,1.000,5.637
32.9000000000002,1.000,5.637
33.0000000000002,1.000,5.637
33.1000000000002,1.000,5.637
33.2000000000002,1.000,5.637
33.3000000000002,1.000,5.637
33.4000000000002,1.000,5.637
33.5000000000002,1.000,5.637
33.6000000000002,1.000,5.637
33.7000000000002,1.000,5.637
33.8000000000002,1.000,5.637
33.9000000000002,1.000,5.637
34.0000000000002,1.000,5.637
34.1000000000002,1.000,5.637
34.2000000000002,1.000,5.637
34.3000000000002,1.000,5.637
34.4000000000002,1.000,5.637
34.5000000000002,1.000,5.637
34.6000000000002,1.000,5.637
34.7000000000002,1.000,5.637
34.8000000000002,1.000,5.637
34.9000000000002,1.000,5.637
35.0000000000002,1.000,5.637
35.1000000000002,1.000,5.637
35.2000000000002,1.000,5.637
35.3000000000002,1.000,5.637
35.4000000000002,1.000,5.637
35.5000000000002,1.000,5.637
35.6000000000002,1.000,5.637
35.7000000000002,1.000,5.637
35.8000000000002,1.000,5.637
35.9000000000002,1.000,5.637
36.0000000000002,1.000,5.637
36.1000000000002,1.000,5.637
36.2000000000002,1.000,5.637
36.3000000000002,1.000,5.637
36.4000000000002,1.000,5.637
36.5000000000002,1.000,5.637
