Time(s),Input(v),Output(v),Output(m)
2.2,2.498,0.011,0.017
2.3,2.498,0.011,0.017
2.4,2.498,0.011,0.018
2.5,2.498,0.011,0.018
2.6,2.498,0.011,0.018
2.7,2.498,0.011,0.018
2.8,2.498,0.011,0.018
2.9,2.498,0.011,0.018
3,2.498,0.011,0.018
3.1,2.498,0.011,0.018
3.2,2.508,0.011,0.018
3.3,2.498,0.011,0.018
3.4,2.498,0.011,0.018
3.5,2.508,0.011,0.018
3.6,3.147,0.011,0.018
3.7,5.000,0.024,0.037
3.8,5.000,0.084,0.133
3.9,5.000,0.192,0.304
4,5.000,0.346,0.549
4.1,5.000,0.546,0.866
4.2,5.000,0.791,1.256
4.3,5.000,1.082,1.717
4.4,5.000,1.416,2.248
4.5,5.000,1.794,2.848
4.6,5.000,2.215,3.516
4.7,5.000,2.678,4.252
4.8,5.000,3.184,5.054
4.9,5.000,3.731,5.922
5,5.000,4.318,6.854
5.1,5.000,4.946,7.850
5.2,5.000,5.613,8.910
5.3,5.000,6.320,10.031
5.4,5.000,7.065,11.214
5.5,5.000,7.849,12.458
5.6,5.000,8.670,13.761
5.7,5.000,9.528,15.124
5.8,5.000,10.000,16.544
5.9,5.000,10.000,18.022
5.99999999999999,5.000,10.000,19.557
6.09999999999999,5.000,10.000,21.147
6.19999999999999,5.000,10.000,22.793
6.29999999999999,5.000,10.000,24.493
6.39999999999999,5.000,10.000,26.247
6.49999999999999,5.000,10.000,28.053
6.59999999999999,5.000,10.000,29.913
6.69999999999999,5.000,10.000,31.823
6.79999999999999,5.000,10.000,33.785
6.89999999999999,5.000,10.000,35.797
6.99999999999999,5.000,10.000,37.859
7.09999999999999,5.000,10.000,39.969
7.19999999999999,5.000,10.000,42.128
7.29999999999999,5.000,10.000,44.334
7.39999999999999,5.000,10.000,46.588
7.49999999999999,5.000,10.000,48.888
7.59999999999999,5.000,10.000,51.234
7.69999999999999,5.000,10.000,53.624
7.79999999999999,5.000,10.000,56.060
7.89999999999999,5.000,10.000,58.539
7.99999999999999,5.000,10.000,61.062
8.09999999999999,5.000,10.000,63.628
8.19999999999999,5.000,10.000,66.236
8.29999999999999,5.000,10.000,68.886
8.39999999999999,5.000,10.000,71.577
8.49999999999999,5.000,10.000,74.308
8.59999999999999,5.000,10.000,77.080
8.69999999999999,5.000,10.000,79.891
8.79999999999998,5.000,10.000,82.741
8.89999999999998,5.000,10.000,85.630
8.99999999999998,5.000,10.000,88.556
9.09999999999998,5.000,10.000,91.521
9.19999999999998,5.000,10.000,94.522
9.29999999999998,5.000,10.000,97.559
9.39999999999998,5.000,10.000,100.633
9.49999999999998,5.000,10.000,103.742
9.59999999999998,5.000,10.000,106.887
9.69999999999998,5.000,10.000,110.066
9.79999999999998,5.000,10.000,113.279
9.89999999999998,5.000,10.000,116.526
9.99999999999998,5.000,10.000,119.806
10.1,5.000,10.000,123.119
10.2,5.000,10.000,126.464
10.3,5.000,10.000,129.842
10.4,5.000,10.000,133.250
10.5,5.000,10.000,136.690
10.6,5.000,10.000,140.161
10.7,5.000,10.000,143.662
10.8,5.000,10.000,147.193
10.9,5.000,10.000,150.753
11,5.000,10.000,154.343
11.1,5.000,10.000,157.961
11.2,5.000,10.000,161.608
11.3,5.000,10.000,165.282
11.4,5.000,10.000,168.984
11.5,5.000,10.000,172.714
11.6,5.000,10.000,176.470
11.7,5.000,10.000,180.253
11.8,5.000,10.000,184.062
11.9,5.000,10.000,187.897
12,5.000,10.000,191.757
12.1,5.000,10.000,195.643
12.2,5.000,10.000,199.553
12.3,5.000,10.000,203.488
12.4,5.000,10.000,207.447
12.5,5.000,10.000,211.430
12.6,5.000,10.000,215.436
12.7,5.000,10.000,219.465
12.8,5.000,10.000,223.518
12.9,5.000,10.000,227.593
13,5.000,10.000,231.690
13.1,5.000,10.000,235.810
13.2,5.000,10.000,239.951
13.3,5.000,10.000,244.113
13.4,5.000,10.000,248.297
13.5,5.000,10.000,252.502
13.6,5.000,10.000,256.727
13.7,5.000,10.000,260.972
13.8,5.000,10.000,265.238
13.9,5.000,10.000,269.523
14,5.000,10.000,273.828
14.1,5.000,10.000,278.152
14.2,5.000,10.000,282.496
14.3,5.000,10.000,286.857
14.4,5.000,10.000,291.238
14.5,5.000,10.000,295.637
14.6,5.000,10.000,300.053
14.7,5.000,10.000,304.488
