Time(s),Input(v),Output(v),Output(m)
0,2.5,0,0
0.1,5,0.02,0.031
0.2,5,0.06,0.092
0.3,5,0.12,0.184
0.4,5,0.199,0.306
0.5,5,0.298,0.458
0.6,5,0.416,0.64
0.7,5,0.554,0.852
0.8,5,0.71,1.092
0.9,5,0.886,1.363
1,5,1.08,1.662
1.1,5,1.293,1.99
1.2,5,1.525,2.346
1.3,5,1.775,2.731
1.4,5,2.044,3.145
1.5,5,2.331,3.586
1.6,5,2.636,4.055
1.7,5,2.959,4.552
1.8,5,3.3,5.077
1.9,5,3.659,5.629
2,5,4.035,6.208
2.1,5,4.429,6.813
2.2,5,4.84,7.446
2.3,5,5.269,8.105
2.4,5,5.714,8.791
2.5,5,6.177,9.503
2.6,5,6.657,10.241
2.7,5,7.153,11.005
2.8,5,7.667,11.795
2.9,5,8.197,12.61
3,5,8.743,13.451
3.1,5,9.306,14.317
3.2,5,9.885,15.208
3.3,5,10,16.124
3.4,5,10,17.064
3.5,5,10,18.03
3.6,5,10,19.019
3.7,5,10,20.033
3.8,5,10,21.071
3.9,5,10,22.133
4,5,10,23.218
4.1,5,10,24.327
4.2,5,10,25.46
4.3,5,10,26.616
4.4,5,10,27.795
4.5,5,10,28.997
4.6,5,10,30.222
4.7,5,10,31.469
4.8,5,10,32.739
4.9,5,10,34.031
5,5,10,35.346
5.1,5,10,36.683
5.2,5,10,38.041
5.3,5,10,39.422
5.4,5,10,40.824
5.5,5,10,42.247
5.6,5,10,43.692
5.7,5,10,45.158
5.8,5,10,46.645
5.9,5,10,48.153
6,5,10,49.682
6.1,5,10,51.231
6.2,5,10,52.801
6.3,5,10,54.392
6.4,5,10,56.002
6.5,5,10,57.633
6.6,5,10,59.284
6.7,5,10,60.954
6.8,5,10,62.644
6.9,5,10,64.354
7,5,10,66.083
7.1,5,10,67.832
7.2,5,10,69.6
7.3,5,10,71.386
7.4,5,10,73.192
7.5,5,10,75.017
7.6,5,10,76.86
7.7,5,10,78.722
7.8,5,10,80.602
7.9,5,10,82.5
8,5,10,84.417
8.1,5,10,86.352
8.2,5,10,88.304
8.3,5,10,90.275
8.4,5,10,92.263
8.5,5,10,94.269
8.6,5,10,96.292
8.7,5,10,98.333
8.8,5,10,100.391
8.9,5,10,102.466
9,5,10,104.558
9.1,5,10,106.667
9.2,5,10,108.793
9.3,5,10,110.935
9.4,5,10,113.094
9.5,5,10,115.269
9.6,5,10,117.461
9.7,5,10,119.669
9.8,5,10,121.893
9.9,5,10,124.133
10,5,10,126.39
10.1,5,10,128.661
10.2,5,10,130.949
10.3,5,10,133.252
10.4,5,10,135.571
10.5,5,10,137.905
10.6,5,10,140.254
10.7,5,10,142.619
10.8,5,10,144.998
10.9,5,10,147.393
11,5,10,149.803
11.1,5,10,152.227
11.2,5,10,154.666
11.3,5,10,157.119
11.4,5,10,159.588
11.5,5,10,162.07
11.6,5,10,164.567
11.7,5,10,167.078
11.8,5,10,169.603
11.9,5,10,172.142
12,5,10,174.695
12.1,5,10,177.262
12.2,5,10,179.843
12.3,5,10,182.437
12.4,5,10,185.045
12.5,5,10,187.666
12.6,5,10,190.301
12.7,5,10,192.949
12.8,5,10,195.61
12.9,5,10,198.284
13,5,10,200.971
13.1,5,10,203.672
13.2,5,10,206.385
13.3,5,10,209.11
13.4,5,10,211.849
13.5,5,10,214.6
13.6,5,10,217.364
13.7,5,10,220.14
13.8,5,10,222.928
13.9,5,10,225.729
14,5,10,228.542
14.1,5,10,231.367
14.2,5,10,234.204
14.3,5,10,237.053
14.4,5,10,239.914
14.5,5,10,242.786
14.6,5,10,245.671
14.7,5,10,248.567
14.8,5,10,251.474
14.9,5,10,254.393
15,5,10,257.323
15.1,5,10,260.265
15.2,5,10,263.218
15.3,5,10,266.182
15.4,5,10,269.157
15.5,5,10,272.144
15.6,5,10,275.141
15.7,5,10,278.149
15.8,5,10,281.168
15.9,5,10,284.197
16,5,10,287.238
16.1,5,10,290.288
16.2,5,10,293.35
16.3,5,10,296.422
16.4,5,10,299.504
16.5,5,10,302.596
16.6,5,10,305.699
16.7,5,10,308.812
16.8,5,10,311.935
16.9,5,10,315.068
17,5,10,318.211
17.1,5,10,321.364
17.2,5,10,324.527
17.3,5,10,327.7
17.4,5,10,330.882
17.5,5,10,334.074
17.6,5,10,337.275
17.7,5,10,340.486
17.8,5,10,343.707
17.9,5,10,346.937
18,5,10,350.176
18.1,5,10,353.424
18.2,5,10,356.682
18.3,5,10,359.949
18.4,5,10,363.225
18.5,5,10,366.51
18.6,5,10,369.804
18.7,5,10,373.107
18.8,5,10,376.418
18.9,5,10,379.739
19,5,10,383.068
19.1,5,10,386.406
19.2,5,10,389.752
19.3,5,10,393.107
19.4,5,10,396.471
19.5,5,10,399.842
19.6,5,10,403.223
19.7,5,10,406.611
19.8,5,10,410.008
19.9,5,10,413.414
20,5,10,416.827
20.1,5,10,420.248
20.2,5,10,423.678
20.3,5,10,427.115
20.4,5,10,430.561
20.5,5,10,434.014
20.6,5,10,437.475
20.7,5,10,440.944
20.8,5,10,444.421
20.9,5,10,447.905
21,5,10,451.397
21.1,5,10,454.897
21.2,5,10,458.404
21.3,5,10,461.918
21.4,5,10,465.44
21.5,5,10,468.97
21.6,5,10,472.507
21.7,5,10,476.051
21.8,5,10,479.602
21.9,5,10,483.16
22,5,10,486.726
22.1,5,10,490.299
22.2,5,10,493.878
22.3,5,10,497.465
22.4,5,10,501.059
22.5,5,10,504.66
22.6,5,10,508.267
22.7,5,10,511.881
22.8,5,10,515.502
22.9,5,10,519.13
23,5,10,522.765
23.1,5,10,526.406
23.2,5,10,530.054
23.3,5,10,533.708
23.4,5,10,537.369
23.5,5,10,541.036
23.6,5,10,544.71
23.7,5,10,548.39
23.8,5,10,552.076
23.9,5,10,555.769
24,5,10,559.468
24.1,5,10,563.173
24.2,5,10,566.884
24.3,5,10,570.601
24.4,5,10,574.325
24.5,5,10,578.054
24.6,5,10,581.79
24.7,5,10,585.531
24.8,5,10,589.279
24.9,5,10,593.032
25,5,10,596.791
25.1,5,10,600.556
25.2,5,10,604.327
25.3,5,10,608.104
25.4,5,10,611.886
25.5,5,10,615.674
25.6,5,10,619.467
25.7,5,10,623.266
25.8,5,10,627.071
25.9,5,10,630.881
26,5,10,634.696
26.1,5,10,638.517
26.2,5,10,642.344
26.3,5,10,646.175
26.4,5,10,650.012
26.5,5,10,653.855
26.6,5,10,657.702
26.7,5,10,661.555
26.8,5,10,665.413
26.9,5,10,669.276
27,5,10,673.145
27.1,5,10,677.018
27.2,5,10,680.896
27.3,5,10,684.78
27.4,5,10,688.668
27.5,5,10,692.561
27.6,5,10,696.46
27.7,5,10,700.363
27.8,5,10,704.271
27.9,5,10,708.184
28,5,10,712.101
28.1,5,10,716.024
28.2,5,10,719.951
28.3,5,10,723.882
28.4,5,10,727.819
28.5,5,10,731.76
28.6,5,10,735.705
28.7,5,10,739.656
28.8,5,10,743.61
28.9,5,10,747.57
29,5,10,751.533
29.1,5,10,755.502
29.2,5,10,759.474
29.3,5,10,763.451
29.4,5,10,767.432
29.5,5,10,771.418
29.6,5,10,775.408
