Time(s),Input(v),Output(v),Output(m)
0,2.503,0,0.001
0.1,5,0.049,0.087
0.2,5,0.1,0.175
0.3,5,0.174,0.305
0.4,5,0.272,0.477
0.5,5,0.393,0.69
0.6,5,0.538,0.944
0.7,5,0.707,1.24
0.8,5,0.898,1.575
0.9,5,1.112,1.951
1,5,1.349,2.367
1.1,5,1.609,2.823
1.2,5,1.891,3.318
1.3,5,2.196,3.852
1.4,5,2.522,4.425
1.5,5,2.871,5.037
1.6,5,3.242,5.687
1.7,5,3.634,6.375
1.8,5,4.048,7.101
1.9,5,4.483,7.864
2,5,4.939,8.665
2.1,5,5.417,9.503
2.2,5,5.915,10.377
2.3,5,6.434,11.288
2.4,5,6.974,12.235
2.5,5,7.535,13.219
2.6,5,8.115,14.238
2.7,5,8.717,15.292
2.8,5,9.338,16.382
2.9,5,9.979,17.507
3,5,10,18.666
3.1,5,10,19.86
3.2,5,10,21.088
3.3,5,10,22.351
3.4,5,10,23.647
3.5,5,10,24.976
3.6,5,10,26.339
3.7,5,10,27.735
3.8,5,10,29.164
3.9,5,10,30.626
4,5,10,32.12
4.1,5,10,33.646
4.2,5,10,35.204
4.3,5,10,36.794
4.4,5,10,38.416
4.5,5,10,40.068
4.6,5,10,41.752
4.7,5,10,43.467
4.8,5,10,45.212
4.9,5,10,46.988
5,5,10,48.794
5.1,5,10,50.63
5.2,5,10,52.495
5.3,5,10,54.391
5.4,5,10,56.315
5.5,5,10,58.269
5.6,5,10,60.252
5.7,5,10,62.264
5.8,5,10,64.304
5.9,5,10,66.373
6,5,10,68.469
6.1,5,10,70.594
6.2,5,10,72.747
6.3,5,10,74.927
6.4,5,10,77.135
6.5,5,10,79.369
6.6,5,10,81.631
6.7,5,10,83.92
6.8,5,10,86.235
6.9,5,10,88.577
7,5,10,90.945
7.1,5,10,93.339
7.2,5,10,95.759
7.3,5,10,98.205
7.4,5,10,100.676
7.5,5,10,103.173
7.6,5,10,105.695
7.7,5,10,108.242
7.8,5,10,110.813
7.9,5,10,113.41
8,5,10,116.031
8.1,5,10,118.676
8.2,5,10,121.346
8.3,5,10,124.039
8.4,5,10,126.756
8.5,5,10,129.497
8.6,5,10,132.261
8.7,5,10,135.049
8.8,5,10,137.86
8.9,5,10,140.694
9,5,10,143.551
9.1,5,10,146.43
9.2,5,10,149.332
9.3,5,10,152.257
9.4,5,10,155.203
9.5,5,10,158.172
9.6,5,10,161.162
9.7,5,10,164.175
9.8,5,10,167.208
9.9,5,10,170.264
10,5,10,173.341
10.1,5,10,176.438
10.2,5,10,179.557
10.3,5,10,182.697
10.4,5,10,185.857
10.5,5,10,189.038
10.6,5,10,192.24
10.7,5,10,195.461
10.8,5,10,198.703
10.9,5,10,201.965
11,5,10,205.247
11.1,5,10,208.548
11.2,5,10,211.869
11.3,5,10,215.21
11.4,5,10,218.569
11.5,5,10,221.948
11.6,5,10,225.346
11.7,5,10,228.763
11.8,5,10,232.199
11.9,5,10,235.653
12,5,10,239.126
12.1,5,10,242.618
12.2,5,10,246.127
12.3,5,10,249.655
12.4,5,10,253.2
12.5,5,10,256.764
12.6,5,10,260.345
12.7,5,10,263.944
12.8,5,10,267.561
12.9,5,10,271.195
13,5,10,274.846
13.1,5,10,278.514
13.2,5,10,282.2
13.3,5,10,285.902
13.4,5,10,289.621
13.5,5,10,293.357
13.6,5,10,297.109
13.7,5,10,300.878
13.8,5,10,304.663
13.9,5,10,308.464
14,5,10,312.282
14.1,5,10,316.115
14.2,5,10,319.964
14.3,5,10,323.829
14.4,5,10,327.71
14.5,5,10,331.606
14.6,5,10,335.518
