Time(s),Input(v),Output(v),Output(m)
1.3,2.522,0.000,0.000
1.4,2.522,0.000,0.000
1.5,2.522,0.000,0.000
1.6,2.522,0.000,0.000
1.7,2.522,0.000,0.000
1.8,2.522,0.000,0.000
1.9,2.522,0.000,0.000
2,2.512,0.000,0.000
2.1,2.522,0.000,0.000
2.2,2.522,0.000,0.000
2.3,2.512,0.000,0.000
2.4,2.522,0.000,0.000
2.5,2.512,0.000,0.000
2.6,2.522,0.000,0.000
2.7,2.522,0.000,0.000
2.8,2.522,0.000,0.000
2.9,2.522,0.000,0.000
3,2.512,0.000,0.000
3.1,2.522,0.000,0.000
3.2,2.522,0.000,0.000
3.3,2.522,0.000,0.000
3.4,2.512,0.000,0.000
3.5,2.512,0.000,0.000
3.6,2.522,0.000,0.000
3.7,2.522,0.000,0.001
3.8,2.512,0.001,0.002
3.9,2.512,0.002,0.003
4,2.522,0.002,0.004
4.1,2.512,0.003,0.006
4.2,2.522,0.005,0.008
4.3,2.522,0.006,0.010
4.4,2.512,0.007,0.013
4.5,2.522,0.009,0.016
4.6,2.522,0.011,0.019
4.7,2.512,0.013,0.023
4.8,2.512,0.015,0.026
4.9,2.522,0.017,0.030
5,2.522,0.020,0.035
5.1,2.522,0.022,0.039
5.2,2.522,0.025,0.044
5.3,2.522,0.028,0.050
5.4,2.522,0.031,0.055
5.5,2.522,0.035,0.061
5.6,2.512,0.039,0.068
5.7,2.522,0.042,0.074
5.8,2.522,0.046,0.081
5.9,2.512,0.050,0.088
5.99999999999999,2.522,0.054,0.096
6.09999999999999,2.522,0.059,0.103
6.19999999999999,2.512,0.063,0.111
6.29999999999999,2.512,0.068,0.119
6.39999999999999,2.522,0.073,0.128
6.49999999999999,2.522,0.078,0.136
6.59999999999999,2.512,0.083,0.145
6.69999999999999,2.522,0.088,0.154
6.79999999999999,2.512,0.093,0.164
6.89999999999999,2.522,0.099,0.173
6.99999999999999,2.512,0.104,0.183
7.09999999999999,2.522,0.110,0.193
7.19999999999999,2.512,0.116,0.203
7.29999999999999,2.522,0.122,0.214
7.39999999999999,2.522,0.128,0.225
7.49999999999999,2.522,0.134,0.236
7.59999999999999,2.522,0.141,0.247
7.69999999999999,2.522,0.148,0.259
7.79999999999999,2.522,0.154,0.271
7.89999999999999,2.522,0.161,0.283
7.99999999999999,2.522,0.168,0.296
8.09999999999999,2.522,0.176,0.308
8.19999999999999,2.522,0.183,0.322
