Time(s),Input(v),Output(v),Output(m)
0,2.493,0,0
0.1,5,0.018,0.031
0.2,5,0.06,0.105
0.3,5,0.126,0.221
0.4,5,0.216,0.379
0.5,5,0.33,0.578
0.6,5,0.467,0.819
0.7,5,0.627,1.1
0.8,5,0.811,1.422
0.9,5,1.017,1.784
1,5,1.246,2.187
1.1,5,1.498,2.629
1.2,5,1.773,3.111
1.3,5,2.07,3.632
1.4,5,2.389,4.192
1.5,5,2.73,4.79
1.6,5,3.093,5.427
1.7,5,3.478,6.102
1.8,5,3.885,6.815
1.9,5,4.313,7.566
2,5,4.762,8.354
2.1,5,5.232,9.179
2.2,5,5.724,10.041
2.3,5,6.236,10.94
2.4,5,6.769,11.875
2.5,5,7.322,12.846
2.6,5,7.896,13.853
2.7,5,8.49,14.895
2.8,5,9.105,15.973
2.9,5,9.739,17.086
3,5,10,18.234
3.1,5,10,19.416
3.2,5,10,20.632
3.3,5,10,21.883
3.4,5,10,23.168
3.5,5,10,24.486
3.6,5,10,25.838
3.7,5,10,27.223
3.8,5,10,28.641
3.9,5,10,30.091
4,5,10,31.574
4.1,5,10,33.089
4.2,5,10,34.637
4.3,5,10,36.216
4.4,5,10,37.827
4.5,5,10,39.469
4.6,5,10,41.142
4.7,5,10,42.846
4.8,5,10,44.581
4.9,5,10,46.346
5,5,10,48.142
5.1,5,10,49.968
5.2,5,10,51.823
5.3,5,10,53.709
5.4,5,10,55.624
5.5,5,10,57.568
5.6,5,10,59.541
5.7,5,10,61.543
5.8,5,10,63.573
5.9,5,10,65.632
6,5,10,67.719
6.1,5,10,69.835
6.2,5,10,71.978
6.3,5,10,74.149
6.4,5,10,76.347
6.5,5,10,78.573
6.6,5,10,80.825
6.7,5,10,83.105
6.8,5,10,85.411
6.9,5,10,87.744
7,5,10,90.103
7.1,5,10,92.488
7.2,5,10,94.9
7.3,5,10,97.337
7.4,5,10,99.799
7.5,5,10,102.287
7.6,5,10,104.801
7.7,5,10,107.339
7.8,5,10,109.902
7.9,5,10,112.491
8,5,10,115.103
8.1,5,10,117.74
8.2,5,10,120.401
8.3,5,10,123.087
8.4,5,10,125.796
8.5,5,10,128.529
8.6,5,10,131.285
8.7,5,10,134.065
8.8,5,10,136.868
8.9,5,10,139.694
9,5,10,142.543
9.1,5,10,145.415
9.2,5,10,148.309
9.3,5,10,151.226
9.4,5,10,154.165
9.5,5,10,157.126
9.6,5,10,160.109
9.7,5,10,163.114
9.8,5,10,166.141
9.9,5,10,169.189
10,5,10,172.258
10.1,5,10,175.349
10.2,5,10,178.461
10.3,5,10,181.593
10.4,5,10,184.747
10.5,5,10,187.921
10.6,5,10,191.115
10.7,5,10,194.33
10.8,5,10,197.565
10.9,5,10,200.82
11,5,10,204.095
11.1,5,10,207.39
11.2,5,10,210.704
11.3,5,10,214.038
11.4,5,10,217.391
11.5,5,10,220.764
11.6,5,10,224.155
11.7,5,10,227.566
11.8,5,10,230.995
11.9,5,10,234.443
12,5,10,237.91
12.1,5,10,241.395
12.2,5,10,244.898
12.3,5,10,248.42
12.4,5,10,251.959
12.5,5,10,255.517
12.6,5,10,259.092
12.7,5,10,262.685
12.8,5,10,266.296
12.9,5,10,269.924
13,5,10,273.569
13.1,5,10,277.232
13.2,5,10,280.911
13.3,5,10,284.608
13.4,5,10,288.321
13.5,5,10,292.051
13.6,5,10,295.798
13.7,5,10,299.561
13.8,5,10,303.341
13.9,5,10,307.137
14,5,10,310.949
14.1,5,10,314.777
14.2,5,10,318.621
14.3,5,10,322.48
14.4,5,10,326.356
14.5,5,10,330.247
14.6,5,10,334.153
14.7,5,10,338.075
14.8,5,10,342.012
14.9,5,10,345.964
15,5,10,349.932
15.1,5,10,353.914
15.2,5,10,357.911
15.3,5,10,361.923
15.4,5,10,365.95
15.5,5,10,369.991
15.6,5,10,374.046
15.7,5,10,378.116
15.8,5,10,382.2
15.9,5,10,386.298
16,5,10,390.41
16.1,5,10,394.537
16.2,5,10,398.677
16.3,5,10,402.83
16.4,5,10,406.998
16.5,5,10,411.179
16.6,5,10,415.373
16.7,5,10,419.581
16.8,5,10,423.802
16.9,5,10,428.036
17,5,10,432.283
17.1,5,10,436.544
17.2,5,10,440.817
17.3,5,10,445.103
17.4,5,10,449.402
17.5,5,10,453.713
17.6,5,10,458.037
17.7,5,10,462.374
17.8,5,10,466.722
17.9,5,10,471.084
18,5,10,475.457
18.1,5,10,479.842
18.2,5,10,484.24
18.3,5,10,488.649
18.4,5,10,493.07
18.5,5,10,497.504
18.6,5,10,501.948
18.7,5,10,506.405
18.8,5,10,510.873
18.9,5,10,515.352
19,5,10,519.843
19.1,5,10,524.345
19.2,5,10,528.858
19.3,5,10,533.383
19.4,5,10,537.918
19.5,5,10,542.465
19.6,5,10,547.022
19.7,5,10,551.59
19.8,5,10,556.169
19.9,5,10,560.759
20,5,10,565.359
20.1,5,10,569.97
20.2,5,10,574.591
20.3,5,10,579.223
20.4,5,10,583.865
20.5,5,10,588.517
20.6,5,10,593.18
20.7,5,10,597.852
20.8,5,10,602.535
20.9,5,10,607.227
21,5,10,611.93
21.1,5,10,616.642
21.2,5,10,621.364
21.3,5,10,626.096
21.4,5,10,630.837
21.5,5,10,635.588
21.6,5,10,640.348
21.7,5,10,645.118
21.8,5,10,649.897
21.9,5,10,654.686
22,5,10,659.484
22.1,5,10,664.29
22.2,5,10,669.106
22.3,5,10,673.931
22.4,5,10,678.765
22.5,5,10,683.608
22.6,5,10,688.46
22.7,5,10,693.32
22.8,5,10,698.189
22.9,5,10,703.067
23,5,10,707.954
23.1,5,10,712.849
23.2,5,10,717.752
23.3,5,10,722.664
23.4,5,10,727.585
23.5,5,10,732.513
23.6,5,10,737.45
23.7,5,10,742.395
23.8,5,10,747.348
23.9,5,10,752.31
24,5,10,757.279
24.1,5,10,762.256
24.2,5,10,767.241
24.3,5,10,772.234
24.4,5,10,777.235
24.5,5,10,782.244
24.6,5,10,787.26
24.7,5,10,792.284
24.8,5,10,797.315
24.9,5,10,802.354
25,5,10,807.401
25.1,5,10,812.455
25.2,5,10,817.516
25.3,5,10,822.585
25.4,5,10,827.661
25.5,5,10,832.744
25.6,5,10,837.834
25.7,5,10,842.931
25.8,5,10,848.036
25.9,5,10,853.147
26,5,10,858.266
26.1,5,10,863.391
26.2,5,10,868.524
26.3,5,10,873.663
26.4,5,10,878.809
26.5,5,10,883.961
26.6,5,10,889.121
26.7,5,10,894.287
26.8,5,10,899.459
26.9,5,10,904.638
27,5,10,909.824
27.1,5,10,915.016
27.2,5,10,920.215
27.3,5,10,925.42
27.4,5,10,930.631
27.5,5,10,935.848
27.6,5,10,941.072
27.7,5,10,946.302
27.8,5,10,951.538
27.9,5,10,956.78
28,5,10,962.028
28.1,5,10,967.283
28.2,5,10,972.543
28.3,5,10,977.809
28.4,5,10,983.081
28.5,5,10,988.359
28.6,5,10,993.643
28.7,5,10,998.932
28.8,5,10,1004.228
28.9,5,10,1009.528
29,5,10,1014.835
29.1,5,10,1020.147
29.2,5,10,1025.465
29.3,5,10,1030.788
29.4,5,10,1036.117
29.5,5,10,1041.452
29.6,5,10,1046.791
29.7,5,10,1052.136
29.8,5,10,1057.487
29.9,5,10,1062.843
30,5,10,1068.204
30.1,5,10,1073.57
30.2,5,10,1078.941
30.3,5,10,1084.318
30.4,5,10,1089.7
30.5,5,10,1095.087
30.6,5,10,1100.479
30.7,5,10,1105.876
30.8,5,10,1111.278
30.9,5,10,1116.684
31,5,10,1122.096
31.1,5,10,1127.513
31.2,5,10,1132.934
31.3,5,10,1138.361
31.4,5,10,1143.792
31.5,5,10,1149.228
31.6,5,10,1154.668
31.7,5,10,1160.114
31.8,5,10,1165.563
31.9,5,10,1171.018
32,5,10,1176.477
32.1,5,10,1181.941
32.2,5,10,1187.409
32.3,5,10,1192.882
32.4,5,10,1198.359
32.5,5,10,1203.84
32.6,5,10,1209.326
32.7,5,10,1214.817
32.8,5,10,1220.311
32.9,5,10,1225.81
33,5,10,1231.314
33.1,5,10,1236.821
33.2,5,10,1242.333
33.3,5,10,1247.849
33.4,5,10,1253.369
