Output(v),Output(m)
0,0
0.02,0.031
0.06,0.092
0.12,0.184
0.199,0.306
0.298,0.458
0.416,0.64
0.554,0.852
0.71,1.092
0.886,1.363
1.08,1.662
1.293,1.99
1.525,2.346
1.775,2.731
2.044,3.145
2.331,3.586
2.636,4.055
2.959,4.552
3.3,5.077
3.659,5.629
4.035,6.208
4.429,6.813
4.84,7.446
5.269,8.105
5.714,8.791
6.177,9.503
6.657,10.241
7.153,11.005
7.667,11.795
8.197,12.61
8.743,13.451
9.306,14.317
9.885,15.208
10,16.124
10,17.064
10,18.03
10,19.019
10,20.033
10,21.071
10,22.133
10,23.218
10,24.327
10,25.46
10,26.616
10,27.795
10,28.997
10,30.222
10,31.469
10,32.739
10,34.031
10,35.346
10,36.683
10,38.041
10,39.422
10,40.824
10,42.247
10,43.692
10,45.158
10,46.645
10,48.153
10,49.682
10,51.231
10,52.801
10,54.392
10,56.002
10,57.633
10,59.284
10,60.954
10,62.644
10,64.354
10,66.083
10,67.832
10,69.6
10,71.386
10,73.192
10,75.017
10,76.86
10,78.722
10,80.602
10,82.5
10,84.417
10,86.352
10,88.304
10,90.275
10,92.263
10,94.269
10,96.292
10,98.333
10,100.391
10,102.466
10,104.558
10,106.667
10,108.793
10,110.935
10,113.094
10,115.269
10,117.461
10,119.669
10,121.893
10,124.133
10,126.39
10,128.661
10,130.949
10,133.252
10,135.571
10,137.905
10,140.254
10,142.619
10,144.998
10,147.393
10,149.803
10,152.227
10,154.666
10,157.119
10,159.588
10,162.07
10,164.567
10,167.078
10,169.603
10,172.142
10,174.695
10,177.262
10,179.843
10,182.437
10,185.045
10,187.666
10,190.301
10,192.949
10,195.61
10,198.284
10,200.971
10,203.672
10,206.385
10,209.11
10,211.849
10,214.6
10,217.364
10,220.14
10,222.928
10,225.729
10,228.542
10,231.367
10,234.204
10,237.053
10,239.914
10,242.786
10,245.671
10,248.567
10,251.474
10,254.393
10,257.323
10,260.265
10,263.218
10,266.182
10,269.157
10,272.144
10,275.141
10,278.149
10,281.168
10,284.197
10,287.238
10,290.288
10,293.35
10,296.422
10,299.504
10,302.596
10,305.699
10,308.812
10,311.935
10,315.068
10,318.211
10,321.364
10,324.527
10,327.7
10,330.882
10,334.074
10,337.275
10,340.486
10,343.707
10,346.937
10,350.176
10,353.424
10,356.682
10,359.949
10,363.225
10,366.51
10,369.804
10,373.107
10,376.418
10,379.739
10,383.068
10,386.406
10,389.752
10,393.107
10,396.471
10,399.842
10,403.223
10,406.611
10,410.008
10,413.414
10,416.827
10,420.248
10,423.678
10,427.115
10,430.561
10,434.014
10,437.475
10,440.944
10,444.421
10,447.905
10,451.397
10,454.897
10,458.404
10,461.918
10,465.44
10,468.97
10,472.507
10,476.051
10,479.602
10,483.16
10,486.726
10,490.299
10,493.878
10,497.465
10,501.059
10,504.66
10,508.267
10,511.881
10,515.502
10,519.13
10,522.765
10,526.406
10,530.054
10,533.708
10,537.369
10,541.036
10,544.71
10,548.39
10,552.076
10,555.769
10,559.468
10,563.173
10,566.884
10,570.601
10,574.325
10,578.054
10,581.79
10,585.531
10,589.279
10,593.032
10,596.791
10,600.556
10,604.327
10,608.104
10,611.886
10,615.674
10,619.467
10,623.266
10,627.071
10,630.881
10,634.696
10,638.517
10,642.344
10,646.175
10,650.012
10,653.855
10,657.702
10,661.555
10,665.413
10,669.276
10,673.145
10,677.018
10,680.896
10,684.78
10,688.668
10,692.561
10,696.46
10,700.363
10,704.271
10,708.184
10,712.101
10,716.024
10,719.951
10,723.882
10,727.819
10,731.76
10,735.705
10,739.656
10,743.61
10,747.57
10,751.533
10,755.502
10,759.474
10,763.451
10,767.432
10,771.418
10,775.408
10,779.402
10,783.401
10,787.403
10,791.41
10,795.421
10,799.437
10,803.456
10,807.479
10,811.507
10,815.538
10,819.573
10,823.613
10,827.656
10,831.703
10,835.755
10,839.81
10,843.868
10,847.931
10,851.998
10,856.068
10,860.142
10,864.219
10,868.301
10,872.386
10,876.474
10,880.567
10,884.662
10,888.762
10,892.865
10,896.971
10,901.081
10,905.195
10,909.312
10,913.432
10,917.556
10,921.683
10,925.813
10,929.947
10,934.084
10,938.225
10,942.369
10,946.515
10,950.666
10,954.819
10,958.976
10,963.135
10,967.298
10,971.464
10,975.633
10,979.806
10,983.981
10,988.159
10,992.34
10,996.525
10,1000.712
10,1004.902
10,1009.095
10,1013.291
10,1017.49
10,1021.692
10,1025.897
10,1030.105
10,1034.315
10,1038.528
10,1042.744
10,1046.963
10,1051.184
10,1055.409
10,1059.636
10,1063.865
10,1068.098
10,1072.333
10,1076.57
10,1080.81
10,1085.053
10,1089.299
10,1093.547
10,1097.797
10,1102.05
10,1106.306
10,1110.564
10,1114.825
10,1119.088
10,1123.354
10,1127.621
10,1131.892
10,1136.165
10,1140.44
10,1144.718
10,1148.997
10,1153.28
10,1157.564
10,1161.851
10,1166.14
10,1170.432
10,1174.726
10,1179.022
10,1183.32
10,1187.62
10,1191.923
10,1196.228
10,1200.535
10,1204.844
10,1209.156
10,1213.469
10,1217.785
10,1222.102
10,1226.422
10,1230.744
10,1235.068
10,1239.394
10,1243.722
10,1248.052
10,1252.384
10,1256.718
10,1261.054
10,1265.392
10,1269.732
10,1274.074
10,1278.418
10,1282.764
10,1287.111
10,1291.461
10,1295.812
10,1300.166
10,1304.521
10,1308.878
10,1313.237
10,1317.597
10,1321.96
10,1326.324
10,1330.69
10,1335.058
10,1339.427
10,1343.799
10,1348.172
10,1352.546
10,1356.923
10,1361.301
10,1365.681
10,1370.062
10,1374.446
10,1378.831
10,1383.217
10,1387.605
10,1391.995
10,1396.386
10,1400.779
10,1405.174
10,1409.57
10,1413.968
10,1418.367
10,1422.768
10,1427.17
10,1431.574
10,1435.979
10,1440.386
10,1444.795
10,1449.205
10,1453.616
10,1458.029
10,1462.443
10,1466.859
10,1471.276
10,1475.695
10,1480.115
10,1484.536
10,1488.959
10,1493.383
10,1497.809
10,1502.236
10,1506.664
10,1511.094
10,1515.525
10,1519.957
10,1524.391
10,1528.826
10,1533.262
10,1537.7
10,1542.139
10,1546.579
10,1551.021
10,1555.464
10,1559.908
10,1564.353
10,1568.799
10,1573.247
10,1577.696
10,1582.146
10,1586.598
10,1591.05
10,1595.504
10,1599.959
10,1604.415
10,1608.873
10,1613.331
10,1617.791
10,1622.252
10,1626.714
10,1631.177
10,1635.641
10,1640.106
10,1644.573
10,1649.04
10,1653.509
10,1657.979
10,1662.449
10,1666.921
10,1671.394
10,1675.868
10,1680.343
10,1684.819
10,1689.296
10,1693.774
10,1698.254
10,1702.734
10,1707.215
10,1711.697
10,1716.18
10,1720.665
10,1725.15
10,1729.636
10,1734.123
10,1738.611
10,1743.1
10,1747.59
10,1752.081
10,1756.573
10,1761.066
10,1765.56
10,1770.054
10,1774.55
10,1779.046
10,1783.544
10,1788.042
10,1792.541
10,1797.041
10,1801.542
10,1806.044
10,1810.547
10,1815.05
10,1819.554
10,1824.06
10,1828.566
10,1833.073
10,1837.58
10,1842.089
10,1846.598
10,1851.109
10,1855.62
10,1860.131
10,1864.644
10,1869.157
10,1873.672
10,1878.187
10,1882.702
10,1887.219
10,1891.736
10,1896.254
10,1900.773
10,1905.293
10,1909.813
10,1914.334
10,1918.856
10,1923.379
10,1927.902
10,1932.426
10,1936.951
10,1941.476
10,1946.002
10,1950.529
10,1955.056
10,1959.585
10,1964.114
10,1968.643
10,1973.174
10,1977.705
10,1982.236
10,1986.768
10,1991.301
10,1995.835
10,2000.369
10,2004.904
10,2009.44
10,2013.976
10,2018.513
10,2023.051
10,2027.589
10,2032.127
10,2036.667
10,2041.207
10,2045.747
10,2050.289
10,2054.83
10,2059.373
10,2063.916
10,2068.459
10,2073.004
10,2077.548
10,2082.094
10,2086.64
10,2091.186
10,2095.733
10,2100.281
10,2104.829
10,2109.378
10,2113.927
10,2118.477
10,2123.027
10,2127.578
10,2132.13
10,2136.682
10,2141.234
10,2145.787
10,2150.341
10,2154.895
10,2159.45
10,2164.005
10,2168.561
10,2173.117
10,2177.674
10,2182.231
10,2186.788
10,2191.347
10,2195.905
10,2200.464
10,2205.024
10,2209.584
10,2214.145
10,2218.706
10,2223.267
10,2227.829
10,2232.392
10,2236.955
10,2241.518
10,2246.082
10,2250.647
10,2255.211
10,2259.776
10,2264.342
10,2268.908
10,2273.475
10,2278.042
10,2282.609
10,2287.177
10,2291.745
10,2296.314
10,2300.883
10,2305.453
10,2310.023
10,2314.593
10,2319.164
10,2323.735
10,2328.306
10,2332.878
10,2337.451
10,2342.024
10,2346.597
10,2351.17
10,2355.744
10,2360.319
10,2364.893
10,2369.468
10,2374.044
10,2378.62
10,2383.196
10,2387.773
10,2392.35
10,2396.927
10,2401.505
10,2406.083
10,2410.661
10,2415.24
10,2419.819
10,2424.398
10,2428.978
10,2433.558
10,2438.139
10,2442.72
10,2447.301
10,2451.883
10,2456.464
10,2461.047
10,2465.629
10,2470.212
10,2474.795
10,2479.379
10,2483.963
10,2488.547
10,2493.131
10,2497.716
10,2502.301
10,2506.887
10,2511.472
10,2516.058
10,2520.645
10,2525.232
10,2529.818
10,2534.406
10,2538.993
10,2543.581
10,2548.169
10,2552.758
10,2557.346
10,2561.935
10,2566.525
10,2571.114
10,2575.704
10,2580.294
10,2584.885
10,2589.475
10,2594.066
10,2598.658
10,2603.249
10,2607.841
10,2612.433
10,2617.025
10,2621.618
10,2626.211
10,2630.804
10,2635.397
10,2639.991
10,2644.585
10,2649.179
10,2653.773
10,2658.368
10,2662.963
10,2667.558
10,2672.153
10,2676.749
10,2681.345
10,2685.941
10,2690.537
10,2695.134
10,2699.731
10,2704.328
10,2708.925
10,2713.523
10,2718.12
10,2722.718
10,2727.316
10,2731.915
10,2736.514
10,2741.112
10,2745.712
10,2750.311
10,2754.91
10,2759.51
10,2764.11
10,2768.71
10,2773.311
10,2777.911
10,2782.512
10,2787.113
10,2791.714
10,2796.316
10,2800.917
10,2805.519
10,2810.121
10,2814.723
10,2819.326
10,2823.928
10,2828.531
10,2833.134
10,2837.737
10,2842.341
10,2846.944
10,2851.548
10,2856.152
10,2860.756
10,2865.361
10,2869.965
10,2874.57
10,2879.175
10,2883.78
10,2888.385
10,2892.99
10,2897.596
10,2902.202
10,2906.808
10,2911.414
10,2916.02
10,2920.627
10,2925.233
10,2929.84
10,2934.447
10,2939.054
10,2943.661
10,2948.269
10,2952.877
10,2957.484
10,2962.092
10,2966.7
10,2971.309
10,2975.917
10,2980.526
10,2985.134
10,2989.743
10,2994.352
10,2998.962
10,3003.571
10,3008.18
10,3012.79
10,3017.4
10,3022.01
10,3026.62
10,3031.23
10,3035.841
10,3040.451
10,3045.062
10,3049.673
10,3054.284
10,3058.895
10,3063.506
10,3068.117
10,3072.729
10,3077.34
10,3081.952
10,3086.564
10,3091.176
10,3095.788
10,3100.401
10,3105.013
10,3109.626
10,3114.238
10,3118.851
10,3123.464
10,3128.077
10,3132.69
10,3137.304
10,3141.917
10,3146.531
10,3151.145
10,3155.758
10,3160.372
10,3164.986
10,3169.601
10,3174.215
10,3178.829
10,3183.444
10,3188.059
10,3192.673
10,3197.288
10,3201.903
10,3206.518
10,3211.134
10,3215.749
10,3220.364
10,3224.98
10,3229.596
10,3234.211
10,3238.827
10,3243.443
10,3248.059
10,3252.676
10,3257.292
10,3261.908
10,3266.525
10,3271.142
10,3275.758
10,3280.375
10,3284.992
10,3289.609
10,3294.226
10,3298.843
10,3303.461
10,3308.078
10,3312.696
10,3317.313
10,3321.931
10,3326.549
10,3331.167
10,3335.785
10,3340.403
10,3345.021
10,3349.639
10,3354.258
10,3358.876
10,3363.495
10,3368.113
10,3372.732
10,3377.351
10,3381.97
10,3386.589
10,3391.208
10,3395.827
10,3400.446
10,3405.065
10,3409.685
10,3414.304
10,3418.924
10,3423.544
10,3428.163
10,3432.783
10,3437.403
10,3442.023
10,3446.643
10,3451.263
10,3455.884
10,3460.504
10,3465.124
10,3469.745
10,3474.365
10,3478.986
10,3483.607
10,3488.227
10,3492.848
10,3497.469
10,3502.09
10,3506.711
10,3511.332
10,3515.953
10,3520.575
10,3525.196
10,3529.818
10,3534.439
