Time(s),Input(v),Output(v),Output(m)
0,2.797,0,0
0.1,5,0.125,0.219
0.2,5,0.197,0.345
0.3,5,0.292,0.513
0.4,5,0.412,0.722
0.5,5,0.554,0.973
0.6,5,0.72,1.264
0.7,5,0.91,1.596
0.8,5,1.122,1.968
0.9,5,1.357,2.38
1,5,1.614,2.832
1.1,5,1.895,3.324
1.2,5,2.197,3.854
1.3,5,2.522,4.424
1.4,5,2.868,5.032
1.5,5,3.237,5.678
1.6,5,3.627,6.363
1.7,5,4.039,7.085
1.8,5,4.472,7.845
1.9,5,4.926,8.642
2,5,5.402,9.477
2.1,5,5.898,10.348
2.2,5,6.415,11.255
2.3,5,6.953,12.199
2.4,5,7.512,13.179
2.5,5,8.091,14.194
2.6,5,8.69,15.246
2.7,5,9.309,16.332
2.8,5,9.948,17.453
2.9,5,10,18.61
3,5,10,19.8
3.1,5,10,21.025
3.2,5,10,22.285
3.3,5,10,23.577
3.4,5,10,24.904
3.5,5,10,26.264
3.6,5,10,27.657
3.7,5,10,29.083
3.8,5,10,30.541
3.9,5,10,32.032
4,5,10,33.555
4.1,5,10,35.111
4.2,5,10,36.698
4.3,5,10,38.316
4.4,5,10,39.966
4.5,5,10,41.647
4.6,5,10,43.358
4.7,5,10,45.101
4.8,5,10,46.874
4.9,5,10,48.677
5,5,10,50.51
5.1,5,10,52.373
5.2,5,10,54.265
5.3,5,10,56.187
5.4,5,10,58.139
5.5,5,10,60.119
5.6,5,10,62.128
5.7,5,10,64.165
5.8,5,10,66.231
5.9,5,10,68.325
6,5,10,70.448
6.1,5,10,72.598
6.2,5,10,74.775
6.3,5,10,76.98
6.4,5,10,79.213
6.5,5,10,81.472
6.6,5,10,83.758
6.7,5,10,86.071
6.8,5,10,88.41
6.9,5,10,90.776
7,5,10,93.167
7.1,5,10,95.585
7.2,5,10,98.028
7.3,5,10,100.497
7.4,5,10,102.991
7.5,5,10,105.511
7.6,5,10,108.056
7.7,5,10,110.625
7.8,5,10,113.219
7.9,5,10,115.838
8,5,10,118.481
8.1,5,10,121.148
8.2,5,10,123.839
8.3,5,10,126.554
8.4,5,10,129.293
8.5,5,10,132.055
8.6,5,10,134.841
8.7,5,10,137.649
8.8,5,10,140.481
8.9,5,10,143.336
9,5,10,146.213
9.1,5,10,149.113
9.2,5,10,152.035
9.3,5,10,154.98
9.4,5,10,157.946
9.5,5,10,160.935
9.6,5,10,163.945
9.7,5,10,166.977
9.8,5,10,170.03
9.9,5,10,173.105
10,5,10,176.201
10.1,5,10,179.318
10.2,5,10,182.455
10.3,5,10,185.614
10.4,5,10,188.793
10.5,5,10,191.992
10.6,5,10,195.212
10.7,5,10,198.452
10.8,5,10,201.712
10.9,5,10,204.992
11,5,10,208.291
11.1,5,10,211.611
11.2,5,10,214.949
11.3,5,10,218.307
11.4,5,10,221.684
11.5,5,10,225.081
11.6,5,10,228.496
11.7,5,10,231.93
11.8,5,10,235.382
11.9,5,10,238.854
12,5,10,242.343
12.1,5,10,245.851
12.2,5,10,249.377
12.3,5,10,252.921
12.4,5,10,256.483
12.5,5,10,260.063
12.6,5,10,263.66
12.7,5,10,267.275
12.8,5,10,270.907
12.9,5,10,274.557
13,5,10,278.223
13.1,5,10,281.907
13.2,5,10,285.608
13.3,5,10,289.325
13.4,5,10,293.06
13.5,5,10,296.81
13.6,5,10,300.578
13.7,5,10,304.361
13.8,5,10,308.161
13.9,5,10,311.977
14,5,10,315.809
14.1,5,10,319.657
14.2,5,10,323.52
14.3,5,10,327.399
14.4,5,10,331.294
14.5,5,10,335.205
14.6,5,10,339.13
14.7,5,10,343.071
14.8,5,10,347.027
14.9,5,10,350.998
15,5,10,354.984
15.1,5,10,358.985
15.2,5,10,363
15.3,5,10,367.03
15.4,5,10,371.075
15.5,5,10,375.134
15.6,5,10,379.207
15.7,5,10,383.295
15.8,5,10,387.396
15.9,5,10,391.512
16,5,10,395.642
16.1,5,10,399.785
16.2,5,10,403.942
16.3,5,10,408.113
16.4,5,10,412.297
16.5,5,10,416.495
16.6,5,10,420.706
16.7,5,10,424.93
16.8,5,10,429.168
16.9,5,10,433.418
17,5,10,437.682
17.1,5,10,441.958
17.2,5,10,446.247
17.3,5,10,450.549
17.4,5,10,454.864
17.5,5,10,459.191
17.6,5,10,463.53
17.7,5,10,467.882
17.8,5,10,472.246
17.9,5,10,476.623
18,5,10,481.011
18.1,5,10,485.411
18.2,5,10,489.824
18.3,5,10,494.248
18.4,5,10,498.684
18.5,5,10,503.131
18.6,5,10,507.591
18.7,5,10,512.061
18.8,5,10,516.544
18.9,5,10,521.037
19,5,10,525.542
19.1,5,10,530.058
19.2,5,10,534.585
19.3,5,10,539.123
19.4,5,10,543.673
19.5,5,10,548.233
19.6,5,10,552.804
19.7,5,10,557.385
19.8,5,10,561.977
19.9,5,10,566.58
20,5,10,571.194
20.1,5,10,575.818
20.2,5,10,580.452
20.3,5,10,585.096
20.4,5,10,589.751
20.5,5,10,594.416
20.6,5,10,599.091
20.7,5,10,603.776
20.8,5,10,608.471
20.9,5,10,613.176
21,5,10,617.891
21.1,5,10,622.615
21.2,5,10,627.349
21.3,5,10,632.093
21.4,5,10,636.846
21.5,5,10,641.609
21.6,5,10,646.381
21.7,5,10,651.162
21.8,5,10,655.953
21.9,5,10,660.753
22,5,10,665.562
22.1,5,10,670.38
22.2,5,10,675.207
22.3,5,10,680.044
22.4,5,10,684.889
22.5,5,10,689.742
22.6,5,10,694.605
22.7,5,10,699.476
22.8,5,10,704.356
22.9,5,10,709.245
23,5,10,714.142
23.1,5,10,719.048
23.2,5,10,723.962
23.3,5,10,728.884
23.4,5,10,733.815
23.5,5,10,738.754
23.6,5,10,743.701
23.7,5,10,748.656
23.8,5,10,753.619
23.9,5,10,758.59
24,5,10,763.57
24.1,5,10,768.557
24.2,5,10,773.552
24.3,5,10,778.554
24.4,5,10,783.565
24.5,5,10,788.583
24.6,5,10,793.609
24.7,5,10,798.642
24.8,5,10,803.683
24.9,5,10,808.731
25,5,10,813.787
25.1,5,10,818.85
25.2,5,10,823.921
25.3,5,10,828.998
25.4,5,10,834.083
25.5,5,10,839.175
25.6,5,10,844.274
25.7,5,10,849.381
25.8,5,10,854.494
25.9,5,10,859.614
26,5,10,864.741
26.1,5,10,869.875
26.2,5,10,875.016
26.3,5,10,880.163
26.4,5,10,885.318
26.5,5,10,890.479
26.6,5,10,895.646
26.7,5,10,900.821
26.8,5,10,906.001
26.9,5,10,911.189
27,5,10,916.382
27.1,5,10,921.582
27.2,5,10,926.789
27.3,5,10,932.001
27.4,5,10,937.22
27.5,5,10,942.446
27.6,5,10,947.677
27.7,5,10,952.915
27.8,5,10,958.158
27.9,5,10,963.408
28,5,10,968.664
28.1,5,10,973.926
28.2,5,10,979.193
28.3,5,10,984.467
28.4,5,10,989.746
28.5,5,10,995.031
28.6,5,10,1000.322
28.7,5,10,1005.619
28.8,5,10,1010.921
28.9,5,10,1016.229
29,5,10,1021.543
29.1,5,10,1026.862
29.2,5,10,1032.187
29.3,5,10,1037.517
29.4,5,10,1042.852
29.5,5,10,1048.194
29.6,5,10,1053.54
29.7,5,10,1058.892
29.8,5,10,1064.249
29.9,5,10,1069.611
30,5,10,1074.979
30.1,5,10,1080.351
30.2,5,10,1085.729
30.3,5,10,1091.112
30.4,5,10,1096.5
30.5,5,10,1101.894
30.6,5,10,1107.292
30.7,5,10,1112.695
30.8,5,10,1118.103
30.9,5,10,1123.516
31,5,10,1128.934
31.1,5,10,1134.357
31.2,5,10,1139.784
31.3,5,10,1145.216
31.4,5,10,1150.653
31.5,5,10,1156.095
31.6,5,10,1161.542
31.7,5,10,1166.993
31.8,5,10,1172.448
31.9,5,10,1177.909
32,5,10,1183.373
32.1,5,10,1188.843
32.2,5,10,1194.316
32.3,5,10,1199.795
32.4,5,10,1205.277
32.5,5,10,1210.764
32.6,5,10,1216.256
32.7,5,10,1221.751
32.8,5,10,1227.252
32.9,5,10,1232.756
33,5,10,1238.264
33.1,5,10,1243.777
33.2,5,10,1249.294
33.3,5,10,1254.815
33.4,5,10,1260.34
33.5,5,10,1265.87
33.6,5,10,1271.403
33.7,5,10,1276.94
33.8,5,10,1282.482
33.9,5,10,1288.027
34,5,10,1293.576
34.1,5,10,1299.13
34.2,5,10,1304.687
34.3,5,10,1310.248
34.4,5,10,1315.813
34.5,5,10,1321.381
34.6,5,10,1326.954
34.7,5,10,1332.53
34.8,5,10,1338.11
34.9,5,10,1343.694
35,5,10,1349.281
35.1,5,10,1354.872
35.2,5,10,1360.467
35.3,5,10,1366.065
35.4,5,10,1371.667
35.5,5,10,1377.272
35.6,5,10,1382.881
35.7,5,10,1388.494
35.8,5,10,1394.11
35.9,5,10,1399.729
36,5,10,1405.352
36.1,5,10,1410.978
36.2,5,10,1416.608
36.3,5,10,1422.241
36.4,5,10,1427.877
36.5,5,10,1433.517
36.6,5,10,1439.16
36.7,5,10,1444.806
36.8,5,10,1450.455
36.9,5,10,1456.108
37,5,10,1461.764
37.1,5,10,1467.423
37.2,5,10,1473.085
37.3,5,10,1478.751
37.4,5,10,1484.419
37.5,5,10,1490.091
37.6,5,10,1495.765
37.7,5,10,1501.443
37.8,5,10,1507.124
37.9,5,10,1512.808
38,5,10,1518.494
38.1,5,10,1524.184
38.2,5,10,1529.877
38.3,5,10,1535.572
38.4,5,10,1541.271
38.5,5,10,1546.972
38.6,5,10,1552.676
38.7,5,10,1558.384
38.8,5,10,1564.093
38.9,5,10,1569.806
39,5,10,1575.522
39.1,5,10,1581.24
39.2,5,10,1586.961
39.3,5,10,1592.685
39.4,5,10,1598.411
39.5,5,10,1604.14
39.6,5,10,1609.872
39.7,5,10,1615.607
39.8,5,10,1621.344
39.9,5,10,1627.083
40,5,10,1632.826
40.1,5,10,1638.571
40.2,5,10,1644.318
40.3,5,10,1650.068
40.4,5,10,1655.821
40.5,5,10,1661.576
40.6,5,10,1667.333
40.7,5,10,1673.093
40.8,5,10,1678.856
40.9,5,10,1684.62
41,5,10,1690.388
41.1,5,10,1696.158
41.2,5,10,1701.93
41.3,5,10,1707.704
41.4,5,10,1713.481
41.5,5,10,1719.26
41.6,5,10,1725.042
41.7,5,10,1730.825
41.8,5,10,1736.612
41.9,5,10,1742.4
42,5,10,1748.191
42.1,5,10,1753.983
42.2,5,10,1759.779
42.3,5,10,1765.576
42.4,5,10,1771.375
42.5,5,10,1777.177
42.6,5,10,1782.981
42.7,5,10,1788.787
42.8,5,10,1794.595
42.9,5,10,1800.405
43,5,10,1806.218
43.1,5,10,1812.032
43.2,5,10,1817.849
43.3,5,10,1823.667
43.4,5,10,1829.488
43.5,5,10,1835.311
43.6,5,10,1841.135
43.7,5,10,1846.962
43.8,5,10,1852.791
43.9,5,10,1858.621
44,5,10,1864.454
44.1,5,10,1870.289
44.2,5,10,1876.125
44.3,5,10,1881.964
44.4,5,10,1887.804
44.5,5,10,1893.646
44.6,5,10,1899.49
44.7,5,10,1905.336
44.8,5,10,1911.184
44.9,5,10,1917.034
45,5,10,1922.885
45.1,5,10,1928.739
45.2,5,10,1934.594
45.3,5,10,1940.451
45.4,5,10,1946.31
45.5,5,10,1952.17
45.6,5,10,1958.033
45.7,5,10,1963.897
45.8,5,10,1969.762
45.9,5,10,1975.63
46,5,10,1981.499
46.1,5,10,1987.37
46.2,5,10,1993.242
46.3,5,10,1999.117
46.4,5,10,2004.992
46.5,5,10,2010.87
46.6,5,10,2016.749
46.7,5,10,2022.63
46.8,5,10,2028.512
46.9,5,10,2034.396
47,5,10,2040.282
47.1,5,10,2046.169
47.2,5,10,2052.058
47.3,5,10,2057.948
47.4,5,10,2063.84
47.5,5,10,2069.733
47.6,5,10,2075.628
47.7,5,10,2081.525
47.8,5,10,2087.423
47.9,5,10,2093.322
48,5,10,2099.223
48.1,5,10,2105.126
48.2,5,10,2111.029
48.3,5,10,2116.935
48.4,5,10,2122.841
