Output(v),Output(m)
0,0
0.003,0.005
0.016,0.028
0.04,0.071
0.077,0.134
0.125,0.219
0.197,0.345
0.292,0.513
0.412,0.722
0.554,0.973
0.72,1.264
0.91,1.596
1.122,1.968
1.357,2.38
1.614,2.832
1.895,3.324
2.197,3.854
2.522,4.424
2.868,5.032
3.237,5.678
3.627,6.363
4.039,7.085
4.472,7.845
4.926,8.642
5.402,9.477
5.898,10.348
6.415,11.255
6.953,12.199
7.512,13.179
8.091,14.194
8.69,15.246
9.309,16.332
9.948,17.453
10,18.61
10,19.8
10,21.025
10,22.285
10,23.577
10,24.904
10,26.264
10,27.657
10,29.083
10,30.541
10,32.032
10,33.555
10,35.111
10,36.698
10,38.316
10,39.966
10,41.647
10,43.358
10,45.101
10,46.874
10,48.677
10,50.51
10,52.373
10,54.265
10,56.187
10,58.139
10,60.119
10,62.128
10,64.165
10,66.231
10,68.325
10,70.448
10,72.598
10,74.775
10,76.98
10,79.213
10,81.472
10,83.758
10,86.071
10,88.41
10,90.776
10,93.167
10,95.585
10,98.028
10,100.497
10,102.991
10,105.511
10,108.056
10,110.625
10,113.219
10,115.838
10,118.481
10,121.148
10,123.839
10,126.554
10,129.293
10,132.055
10,134.841
10,137.649
10,140.481
10,143.336
10,146.213
10,149.113
10,152.035
10,154.98
10,157.946
10,160.935
10,163.945
10,166.977
10,170.03
10,173.105
10,176.201
10,179.318
10,182.455
10,185.614
10,188.793
10,191.992
10,195.212
10,198.452
10,201.712
10,204.992
10,208.291
10,211.611
10,214.949
10,218.307
10,221.684
10,225.081
10,228.496
10,231.93
10,235.382
10,238.854
10,242.343
10,245.851
10,249.377
10,252.921
10,256.483
10,260.063
10,263.66
10,267.275
10,270.907
10,274.557
10,278.223
10,281.907
10,285.608
10,289.325
10,293.06
10,296.81
10,300.578
10,304.361
10,308.161
10,311.977
10,315.809
10,319.657
10,323.52
10,327.399
10,331.294
10,335.205
10,339.13
10,343.071
10,347.027
10,350.998
10,354.984
10,358.985
10,363
10,367.03
10,371.075
10,375.134
10,379.207
10,383.295
10,387.396
10,391.512
10,395.642
10,399.785
10,403.942
10,408.113
10,412.297
10,416.495
10,420.706
10,424.93
10,429.168
10,433.418
10,437.682
10,441.958
10,446.247
10,450.549
10,454.864
10,459.191
10,463.53
10,467.882
10,472.246
10,476.623
10,481.011
10,485.411
10,489.824
10,494.248
10,498.684
10,503.131
10,507.591
10,512.061
10,516.544
10,521.037
10,525.542
10,530.058
10,534.585
10,539.123
10,543.673
10,548.233
10,552.804
10,557.385
10,561.977
10,566.58
10,571.194
10,575.818
10,580.452
10,585.096
10,589.751
10,594.416
10,599.091
10,603.776
10,608.471
10,613.176
10,617.891
10,622.615
10,627.349
10,632.093
10,636.846
10,641.609
10,646.381
10,651.162
10,655.953
10,660.753
10,665.562
10,670.38
10,675.207
10,680.044
10,684.889
10,689.742
10,694.605
10,699.476
10,704.356
10,709.245
10,714.142
10,719.048
10,723.962
10,728.884
10,733.815
10,738.754
10,743.701
10,748.656
10,753.619
10,758.59
10,763.57
10,768.557
10,773.552
10,778.554
10,783.565
10,788.583
10,793.609
10,798.642
10,803.683
10,808.731
10,813.787
10,818.85
10,823.921
10,828.998
10,834.083
10,839.175
10,844.274
10,849.381
10,854.494
10,859.614
10,864.741
10,869.875
10,875.016
10,880.163
10,885.318
10,890.479
10,895.646
10,900.821
10,906.001
10,911.189
10,916.382
10,921.582
10,926.789
10,932.001
10,937.22
10,942.446
10,947.677
10,952.915
10,958.158
10,963.408
10,968.664
10,973.926
10,979.193
10,984.467
10,989.746
10,995.031
10,1000.322
10,1005.619
10,1010.921
10,1016.229
10,1021.543
10,1026.862
10,1032.187
10,1037.517
10,1042.852
10,1048.194
