Time(s),Input(v),Output(v),Output(m)
3.4,2.503,0.000,0.000
3.5,2.512,0.000,0.000
3.6,2.512,0.000,0.000
3.7,2.512,0.000,0.000
3.8,2.512,0.000,0.000
3.9,2.512,0.000,0.000
4,2.512,0.000,0.000
4.1,2.512,0.000,0.000
4.2,2.512,0.000,0.000
4.3,2.512,0.000,0.000
4.4,2.503,0.000,0.000
4.5,2.512,0.000,0.000
4.6,2.512,0.000,0.000
4.7,2.512,0.000,0.000
4.8,2.512,0.000,0.000
4.9,2.503,0.000,0.000
5,2.512,0.000,0.000
5.1,2.512,0.000,0.000
5.2,2.512,0.000,0.000
5.3,2.503,0.000,0.000
5.4,2.512,0.000,0.000
5.5,2.512,0.000,0.000
5.6,2.512,0.000,0.000
5.7,2.512,0.000,0.000
5.8,2.512,0.000,0.000
5.9,2.512,0.000,0.000
5.99999999999999,2.512,0.000,0.000
6.09999999999999,2.512,0.000,0.000
6.19999999999999,2.512,0.000,0.000
6.29999999999999,2.512,0.000,0.000
6.39999999999999,2.512,0.000,0.000
6.49999999999999,2.503,0.000,0.000
6.59999999999999,2.512,0.000,0.000
6.69999999999999,2.512,0.000,0.000
6.79999999999999,2.512,0.000,0.000
6.89999999999999,2.512,0.000,0.001
6.99999999999999,2.512,0.001,0.001
7.09999999999999,2.503,0.001,0.002
7.19999999999999,2.512,0.002,0.003
7.29999999999999,2.512,0.002,0.004
7.39999999999999,2.512,0.003,0.005
7.49999999999999,2.512,0.004,0.007
7.59999999999999,2.512,0.005,0.009
7.69999999999999,2.512,0.006,0.010
7.79999999999999,2.512,0.007,0.012
7.89999999999999,2.503,0.008,0.015
7.99999999999999,2.503,0.010,0.017
8.09999999999999,2.512,0.011,0.019
8.19999999999999,2.503,0.013,0.022
8.29999999999999,2.512,0.014,0.025
8.39999999999999,2.512,0.016,0.027
8.49999999999999,2.512,0.017,0.030
8.59999999999999,2.512,0.019,0.033
8.69999999999999,2.512,0.021,0.037
8.79999999999998,2.512,0.023,0.040
8.89999999999998,2.503,0.025,0.044
8.99999999999998,2.512,0.027,0.048
9.09999999999998,2.512,0.029,0.051
9.19999999999998,2.512,0.032,0.056
9.29999999999998,2.503,0.034,0.060
9.39999999999998,2.503,0.037,0.064
9.49999999999998,2.503,0.039,0.068
