Time(s),Input(v),Output(v),Output(m)
9.19999999999998,2.512,0.001,0.002
9.29999999999998,2.512,0.002,0.003
9.39999999999998,2.522,0.003,0.005
9.49999999999998,2.522,0.004,0.006
9.59999999999998,2.512,0.005,0.008
9.69999999999998,2.522,0.006,0.011
9.79999999999998,2.532,0.008,0.013
9.89999999999998,2.522,0.009,0.017
9.99999999999998,2.522,0.011,0.020
10.1,2.522,0.014,0.024
10.2,2.522,0.016,0.028
10.3,2.522,0.019,0.033
10.4,2.522,0.022,0.038
10.5,2.522,0.025,0.043
10.6,2.522,0.028,0.049
10.7,2.522,0.031,0.055
10.8,2.522,0.035,0.061
10.9,2.522,0.039,0.068
11,2.522,0.043,0.075
11.1,2.522,0.047,0.082
11.2,2.522,0.051,0.090
11.3,2.512,0.056,0.098
11.4,2.512,0.060,0.106
11.5,2.522,0.065,0.114
11.6,2.512,0.070,0.123
11.7,2.522,0.075,0.131
11.8,2.512,0.080,0.140
11.9,2.512,0.085,0.150
12,2.522,0.091,0.159
12.1,2.512,0.096,0.169
12.2,2.522,0.102,0.178
12.3,2.512,0.107,0.189
12.4,2.522,0.113,0.199
12.5,2.512,0.119,0.209
12.6,2.522,0.125,0.220
12.7,2.512,0.132,0.231
12.8,2.512,0.138,0.242
12.9,2.512,0.144,0.253
13,2.522,0.151,0.265
13.1,2.512,0.158,0.277
13.2,2.512,0.164,0.288
13.3,2.522,0.171,0.300
13.4,2.512,0.178,0.313
13.5,2.512,0.185,0.325
13.6,2.512,0.192,0.338
13.7,2.522,0.200,0.350
13.8,2.512,0.207,0.363
13.9,2.512,0.214,0.376
14,2.522,0.222,0.389
14.1,2.512,0.230,0.403
14.2,2.512,0.237,0.416
14.3,2.512,0.245,0.430
14.4,2.512,0.253,0.444
14.5,2.512,0.261,0.458
14.6,2.522,0.269,0.472
14.7,2.512,0.277,0.486
14.8,2.512,0.285,0.501
14.9,2.512,0.294,0.515
15,2.512,0.302,0.530
15.1,2.522,0.310,0.545
15.2,2.522,0.319,0.560
15.3,2.512,0.328,0.575
15.4,2.512,0.336,0.590
15.5,2.512,0.345,0.606
15.6,2.512,0.354,0.621
15.7,2.512,0.363,0.637
15.8,2.512,0.372,0.653
15.9,2.512,0.381,0.669
16,2.512,0.390,0.685
16.1,2.512,0.400,0.701
16.2,2.512,0.409,0.717
16.3,2.512,0.418,0.734
16.4,2.512,0.428,0.750
16.5,2.512,0.437,0.767
16.6,2.512,0.446,0.783
16.7,2.512,0.456,0.800
16.8,2.512,0.466,0.817
16.9,2.512,0.475,0.834
17,2.512,0.485,0.851
17.1,2.512,0.495,0.868
17.2,2.512,0.504,0.885
17.3,2.512,0.514,0.902
17.4,2.512,0.524,0.920
17.5,2.512,0.534,0.937
17.6,2.512,0.544,0.954
17.7,2.522,0.554,0.972
17.8,2.512,0.564,0.990
17.9,2.512,0.575,1.008
18,2.512,0.585,1.026
18.1,2.522,0.595,1.044
18.2,2.522,0.606,1.063
18.3,2.512,0.616,1.081
18.4,2.512,0.627,1.100
18.5,2.512,0.638,1.119
18.6,2.512,0.648,1.138
18.7,2.512,0.659,1.157
18.8,2.522,0.670,1.176
18.9,2.512,0.681,1.195
19,2.512,0.692,1.214
19.1,2.512,0.703,1.234
19.2,2.512,0.714,1.253
19.3,2.512,0.726,1.273
19.4,2.512,0.737,1.293
19.5,2.522,0.748,1.312
19.6,2.512,0.759,1.332
19.7,2.512,0.771,1.352
19.8,2.512,0.782,1.372
19.9,2.512,0.794,1.393
20,2.512,0.805,1.413
20.1,2.512,0.817,1.433
20.2,2.512,0.829,1.454
20.3,2.512,0.840,1.474
20.4,2.512,0.852,1.495
20.5,2.512,0.864,1.515
20.6,2.512,0.876,1.536
20.7,2.512,0.887,1.557
20.8,2.512,0.899,1.578
20.9,2.512,0.911,1.598
21,2.512,0.923,1.619
21.1,2.512,0.935,1.640
21.2,2.512,0.947,1.662
21.3,2.512,0.959,1.683
21.4,2.512,0.971,1.704
21.5,2.512,0.983,1.725
21.6,2.512,0.996,1.746
21.7,2.512,1.008,1.768
21.8,2.522,1.020,1.789
21.9,2.522,1.032,1.811
22,2.512,1.045,1.833
22.1,2.512,1.057,1.855
22.2,2.512,1.070,1.877
22.3,2.512,1.082,1.899
22.4,2.512,1.095,1.921
22.5,2.512,1.108,1.943
22.6000000000001,2.512,1.120,1.966
22.7000000000001,2.512,1.133,1.988
22.8000000000001,2.512,1.146,2.010
22.9000000000001,2.512,1.159,2.033
23.0000000000001,2.512,1.172,2.055
23.1000000000001,2.512,1.184,2.078
23.2000000000001,2.512,1.197,2.100
23.3000000000001,2.512,1.210,2.123
23.4000000000001,2.512,1.223,2.146
23.5000000000001,2.512,1.236,2.169
23.6000000000001,2.512,1.249,2.191
23.7000000000001,2.512,1.262,2.214
23.8000000000001,2.512,1.275,2.237
23.9000000000001,2.512,1.288,2.260
24.0000000000001,2.512,1.301,2.283
24.1000000000001,2.512,1.314,2.306
24.2000000000001,2.512,1.328,2.329
24.3000000000001,2.512,1.341,2.352
24.4000000000001,2.512,1.354,2.376
24.5000000000001,2.512,1.367,2.399
24.6000000000001,2.512,1.381,2.422
24.7000000000001,2.512,1.394,2.446
24.8000000000001,2.512,1.407,2.469
24.9000000000001,2.512,1.421,2.492
25.0000000000001,2.512,1.434,2.516
25.1000000000001,2.512,1.448,2.540
25.2000000000001,2.512,1.461,2.563
25.3000000000001,2.512,1.474,2.587
25.4000000000001,2.512,1.488,2.610
25.5000000000001,2.512,1.501,2.634
25.6000000000001,2.512,1.515,2.658
25.7000000000001,2.512,1.529,2.682
25.8000000000001,2.512,1.542,2.706
25.9000000000001,2.512,1.556,2.730
26.0000000000001,2.512,1.570,2.754
26.1000000000001,2.512,1.583,2.778
26.2000000000001,2.512,1.597,2.802
26.3000000000001,2.512,1.611,2.826
26.4000000000001,2.512,1.624,2.850
26.5000000000001,2.512,1.638,2.874
26.6000000000001,2.512,1.652,2.898
26.7000000000001,2.512,1.666,2.923
26.8000000000001,2.512,1.680,2.947
26.9000000000001,2.512,1.694,2.971
27.0000000000001,2.512,1.708,2.996
27.1000000000001,2.512,1.721,3.020
27.2000000000001,2.512,1.735,3.045
27.3000000000001,2.512,1.749,3.069
27.4000000000001,2.512,1.763,3.094
27.5000000000001,2.512,1.777,3.118
27.6000000000001,2.512,1.791,3.143
27.7000000000001,2.512,1.806,3.168
27.8000000000001,2.512,1.820,3.192
27.9000000000001,2.512,1.834,3.217
28.0000000000001,2.512,1.848,3.242
28.1000000000001,2.512,1.862,3.267
28.2000000000001,2.503,1.876,3.292
28.3000000000001,2.512,1.890,3.316
28.4000000000001,2.512,1.904,3.341
28.5000000000001,2.512,1.919,3.366
28.6000000000001,2.512,1.933,3.391
28.7000000000001,2.512,1.947,3.416
28.8000000000001,2.503,1.961,3.441
