Time(s),Input(v),Output(v),Output(m)
4.9,5.000,0.000,0.000
5,5.000,0.000,0.000
5.1,5.000,0.000,0.000
5.2,5.000,0.000,0.000
5.3,5.000,0.000,0.000
5.4,5.000,0.000,0.000
5.5,5.000,0.000,0.000
5.6,5.000,0.000,0.000
5.7,5.000,0.000,0.000
5.8,5.000,0.000,0.000
5.9,5.000,0.000,0.000
5.99999999999999,5.000,0.000,0.000
6.09999999999999,5.000,0.000,0.000
6.19999999999999,5.000,0.000,0.000
6.29999999999999,5.000,0.000,0.000
6.39999999999999,5.000,0.000,0.000
6.49999999999999,5.000,0.000,0.000
6.59999999999999,5.000,0.000,0.000
6.69999999999999,5.000,0.000,0.000
6.79999999999999,5.000,0.000,0.000
6.89999999999999,5.000,0.000,0.000
6.99999999999999,5.000,0.000,0.000
7.09999999999999,5.000,0.000,0.000
7.19999999999999,5.000,0.000,0.000
7.29999999999999,5.000,0.000,0.000
7.39999999999999,5.000,0.000,0.000
7.49999999999999,5.000,0.000,0.000
7.59999999999999,5.000,0.024,0.043
7.69999999999999,5.000,0.073,0.127
7.79999999999999,5.000,0.145,0.254
7.89999999999999,5.000,0.241,0.423
7.99999999999999,5.000,0.361,0.633
8.09999999999999,5.000,0.504,0.884
8.19999999999999,5.000,0.670,1.176
8.29999999999999,5.000,0.860,1.509
8.39999999999999,4.751,1.073,1.882
8.49999999999999,3.892,1.305,2.290
8.59999999999999,2.983,1.550,2.720
8.69999999999999,2.256,1.798,3.154
8.79999999999998,1.743,2.042,3.582
8.89999999999998,1.265,2.276,3.994
8.99999999999998,0.952,2.497,4.381
9.09999999999998,0.791,2.702,4.740
9.19999999999998,0.767,2.888,5.067
9.29999999999998,0.791,3.056,5.362
9.39999999999998,0.913,3.207,5.626
9.49999999999998,1.025,3.341,5.861
9.59999999999998,1.094,3.460,6.070
9.69999999999998,1.289,3.564,6.253
9.79999999999998,1.450,3.656,6.414
9.89999999999998,1.572,3.737,6.556
9.99999999999998,1.675,3.808,6.681
10.1,1.836,3.871,6.792
10.2,1.924,3.927,6.890
10.3,1.968,3.977,6.978
10.4,2.080,4.022,7.056
10.5,2.153,4.062,7.126
10.6,2.217,4.098,7.190
10.7,2.231,4.132,7.249
10.8,2.251,4.162,7.303
10.9,2.334,4.190,7.352
11,2.324,4.217,7.398
11.1,2.363,4.241,7.440
11.2,2.368,4.264,7.480
11.3,2.349,4.285,7.518
11.4,2.383,4.305,7.552
11.5,2.388,4.323,7.585
11.6,2.383,4.341,7.615
11.7,2.422,4.357,7.643
11.8,2.368,4.372,7.670
11.9,2.388,4.385,7.694
12,2.402,4.398,7.716
12.1,2.451,4.409,7.736
12.2,2.407,4.420,7.755
12.3,2.437,4.430,7.773
12.4,2.437,4.440,7.789
12.5,2.446,4.448,7.804
12.6,2.432,4.456,7.818
12.7,2.515,4.464,7.831
12.8,2.441,4.471,7.844
12.9,2.476,4.478,7.856
13,2.437,4.484,7.867
13.1,2.466,4.490,7.877
13.2,2.480,4.496,7.887
13.3,2.485,4.501,7.896
13.4,2.476,4.506,7.905
13.5,2.476,4.511,7.913
13.6,2.471,4.515,7.921
13.7,2.466,4.519,7.929
13.8,2.461,4.523,7.935
13.9,2.461,4.527,7.941
14,2.446,4.530,7.947
14.1,2.510,4.532,7.951
14.2,2.495,4.535,7.956
14.3,2.520,4.537,7.960
14.4,2.466,4.540,7.965
14.5,2.510,4.542,7.969
14.6,2.471,4.545,7.973
14.7,2.510,4.547,7.977
14.8,2.471,4.549,7.980
14.9,2.505,4.551,7.984
15,2.529,4.553,7.987
15.1,2.471,4.555,7.991
15.2,2.505,4.557,7.994
15.3,2.466,4.559,7.998
15.4,2.495,4.560,8.000
15.5,2.515,4.562,8.003
15.6,2.466,4.563,8.006
15.7,2.490,4.565,8.008
15.8,2.515,4.566,8.010
15.9,2.451,4.567,8.013
16,2.480,4.568,8.014
16.1,2.510,4.569,8.015
16.2,2.515,4.569,8.016
